iter	Passed	Remaining
849	11015	1943
850	11030	1931
851	11044	1918
852	11058	1905
853	11072	1892
854	11087	1880
855	11098	1867
856	11113	1854
857	11126	1841
858	11140	1828
859	11154	1815
860	11168	1803
861	11181	1790
862	11195	1777
863	11210	1764
864	11223	1751
865	11237	1738
866	11250	1725
867	11264	1713
868	11278	1700
869	11291	1687
870	11304	1674
871	11318	1661
872	11331	1648
873	11343	1635
874	11359	1622
875	11372	1609
876	11385	1596
877	11399	1583
878	11413	1571
879	11427	1558
880	11441	1545
881	11455	1532
882	11468	1519
883	11483	1506
884	11495	1493
885	11508	1480
886	11522	1467
887	11537	1455
888	11551	1442
889	11563	1429
890	11577	1416
891	11589	1403
892	11604	1390
893	11619	1377
894	11633	1364
895	11646	1351
896	11659	1338
897	11673	1325
898	11687	1313
899	11700	1300
900	11714	1287
901	11728	1274
902	11743	1261
903	11758	1248
904	11771	1235
905	11785	1222
906	11798	1209
907	11814	1197
908	11832	1184
909	11848	1171
910	11868	1159
911	11883	1146
912	11901	1134
913	11915	1121
914	11930	1108
915	11950	1095
916	11967	1083
917	11988	1070
918	12005	1058
919	12024	1045
920	12046	1033
921	12063	1020
922	12079	1007
923	12098	995
924	12116	982
925	12132	969
926	12145	956
927	12160	943
928	12176	930
929	12190	917
930	12205	904
931	12218	891
932	12230	878
933	12244	865
934	12257	852
935	12271	839
936	12284	825
937	12296	812
938	12310	799
939	12325	786
940	12340	773
941	12356	760
942	12372	747
943	12389	734
944	12405	722
945	12418	708
946	12432	695
947	12445	682
948	12457	669
949	12469	656
950	12482	643
951	12495	630
952	12508	616
953	12520	603
954	12535	590
955	12547	577
956	12559	564
957	12571	551
958	12583	537
959	12594	524
960	12606	511
961	12618	498
962	12630	485
963	12641	472
964	12653	458
965	12667	445
966	12679	432
967	12691	419
968	12703	406
969	12715	393
970	12729	380
971	12741	367
972	12754	353
973	12766	340
974	12780	327
975	12791	314
976	12803	301
977	12816	288
978	12829	275
979	12841	262
980	12853	248
981	12867	235
982	12880	222
983	12892	209
984	12904	196
985	12916	183
986	12928	170
987	12941	157
988	12954	144
989	12965	130
990	12978	117
991	12990	104
992	13003	91
993	13018	78
994	13030	65
995	13043	52
996	13055	39
997	13068	26
998	13080	13
999	13094	0
